rank,drug_name,target,binding_score
1,carazolol,New Target,4.53
2,halobetasol-propionate,New Target,6.51
3,ibrutinib,New Target,7.33
4,raclopride,New Target,13.05
5,timolol maleate,New Target,15.2
6,alprenolol,New Target,16.06
7,ethoxzolamide,New Target,16.17
8,solifenacin succinate,New Target,17.28
9,peficitinib,New Target,19.41
10,ipratropium bromide,New Target,23.23
11,stanozolol,New Target,23.38
12,dexamethasone,New Target,24.78
13,naltrexone,New Target,27.15
14,ethisterone,New Target,27.72
15,mianserin hydrochloride,New Target,35.57
16,clocortolone-pivalate,New Target,36.36
17,triamcinolone acetonide,New Target,36.71
18,faropenem,New Target,39.21
19,dehydroepiandrosterone,New Target,41.82
20,laropiprant,New Target,42.03
21,tiotropium,New Target,45.56
22,mometasone,New Target,47.4
23,norethindrone,New Target,50.63
24,tibolone,New Target,53.74
25,nalbuphine,New Target,54.74
26,betamethasone-acetate,New Target,54.77
27,nalmefene hcl,New Target,55.23
28,topiramate,New Target,63.79
29,trospium,New Target,65.79
30,eletriptan,New Target,71.07
31,halobetasol propionate,New Target,71.84
32,terpinen-4-ol,New Target,73.19
33,norgestrel,New Target,74.52
34,meprednisone,New Target,78.6
35,flunisolide,New Target,80.88
36,flumethasone,New Target,84.08
37,ketanserin,New Target,85.48
38,altrenogest,New Target,94.46
39,mepenzolate,New Target,96.86
40,vimseltinib,New Target,96.91
41,scopolamine hydrobromide,New Target,97.45
42,dexamethasone-acetate,New Target,101.38
43,clobetasone-butyrate,New Target,101.47
44,moxifloxacin,New Target,102.57
45,carvedilol,New Target,107.22
46,desoximetasone,New Target,107.78
47,ethisterone,New Target,108.48
48,riboflavin,New Target,110.65
49,beclomethasone,New Target,112.23
50,indoramin,New Target,114.86
51,brinzolamide,New Target,115.16
52,niraparib,New Target,116.76
53,olmesartan,New Target,120.0
54,deflazacort,New Target,120.4
55,levobunolol,New Target,124.37
56,dimemorfan,New Target,125.35
57,azelastine,New Target,125.56
58,alvimopan,New Target,126.48
59,tasimelteon,New Target,128.58
60,prednicarbate,New Target,129.23
61,ertapenem,New Target,129.33
62,vorinostat,New Target,130.08
63,rebamipide,New Target,130.72
64,apalutamide,New Target,133.1
65,cafestol,New Target,134.98
66,thiamine-pyrophosphate,New Target,136.5
67,deracoxib,New Target,141.35
68,nebivolol,New Target,143.2
69,lumateperone,New Target,147.38
70,estradiol,New Target,147.45
71,danazol,New Target,151.9
72,etonogestrel,New Target,152.6
73,arotinolol,New Target,155.03
74,halcinonide,New Target,155.21
75,granisetron,New Target,155.83
76,desoxymetasone,New Target,157.26
77,betamethasone acetate,New Target,158.51
78,doxazosin,New Target,159.06
79,nadolol,New Target,159.08
80,fluocinonide,New Target,162.0
81,methscopolamine,New Target,162.13
82,etodolac,New Target,163.64
83,flumequine,New Target,165.22
84,felodipine,New Target,169.8
85,sparteine-(+),New Target,172.82
86,trimethoprim,New Target,173.92
87,zanubrutinib,New Target,177.66
88,chlorpyrifos,New Target,181.83
89,loteprednol,New Target,186.07
90,methylprednisolone-aceponate,New Target,189.97
91,levonorgestrel,New Target,190.52
92,galantamine,New Target,191.3
93,riboflavin,New Target,193.23
94,estradiol-acetate,New Target,193.99
95,prajmalium bitartrate,New Target,196.11
96,chlortetracycline,New Target,197.76
97,dorzolamide,New Target,200.43
98,flunisolide,New Target,202.4
99,methylnaltrexone,New Target,204.23
100,saxagliptin,New Target,206.35
101,diflorasone diacetate,New Target,206.63
102,chlortetracycline hcl,New Target,209.69
103,bicalutamide,New Target,211.18
104,griseofulvin,New Target,214.13
105,lynestrenol,New Target,214.63
106,methylnaltrexone (bromide),New Target,215.26
107,triamcinolone-acetonide,New Target,216.56
108,phenindamine,New Target,220.12
109,gemigliptin,New Target,222.75
110,anthralin,New Target,222.78
111,trilostane,New Target,223.49
112,naftopidil,New Target,224.66
113,levosulpiride,New Target,226.78
114,cyproheptadine,New Target,228.63
115,prednicarbate,New Target,232.08
116,altrenogest,New Target,236.19
117,tebipenem,New Target,236.92
118,benfotiamine,New Target,241.15
119,tebipenem,New Target,242.96
120,trospium chloride,New Target,245.65
121,azasetron,New Target,245.72
122,gr-235,New Target,248.6
123,halcinonide,New Target,248.85
124,lorlatinib,New Target,249.72
125,dienogest,New Target,250.18
126,levallorphan,New Target,255.73
127,fenoldopam,New Target,255.75
128,oxprenolol,New Target,256.09
129,pindolol,New Target,256.58
130,rilpivirine,New Target,259.99
131,deutetrabenazine,New Target,261.87
132,latanoprost,New Target,263.21
133,mabuprofen,New Target,264.74
134,etonogestrel,New Target,268.21
135,naloxone,New Target,268.94
136,aminoglutethimide,New Target,275.47
137,nemonapride,New Target,275.93
138,bupranolol,New Target,276.31
139,terazosin hydrochloride,New Target,279.91
140,terazosin,New Target,280.3
141,prednisolone-sodium-phosphate,New Target,280.75
142,proxodolol,New Target,281.29
143,omarigliptin,New Target,282.29
144,indacaterol,New Target,283.89
145,deprodone propionate,New Target,285.66
146,frovatriptan,New Target,285.69
147,darifenacin,New Target,288.57
148,betamethasone-phosphate,New Target,289.11
149,meropenem,New Target,294.72
150,(+)-borneol,New Target,295.44
151,imipenem,New Target,296.8
