name,vina_score
alprenolol,-4.942
altrenogest,-6.997
beclomethasone,-6.767
betamethasone-acetate,-8.159
carazolol,-6.049
carvedilol,-5.687
clobetasone-butyrate,-6.438
clocortolone-pivalate,-7.03
dehydroepiandrosterone,-6.984
desoximetasone,-7.91
dexamethasone-acetate,-7.885
dexamethasone,-7.838
eletriptan,-7.429
ethisterone,-7.373
ethoxzolamide,-5.231
faropenem,-5.86
flumethasone,-7.225
flunisolide,-7.168
halobetasol-propionate,-6.615
halobetasol_propionate,-7.329
ibrutinib,-7.384
indoramin,-7.11
ipratropium_bromide,-5.633
ketanserin,-7.633
laropiprant,-6.164
mepenzolate,-6.447
meprednisone,-7.556
mianserin_hydrochloride,-6.532
mometasone,-7.559
moxifloxacin,-6.63
nalbuphine,-7.699
nalmefene_hcl,-7.322
naltrexone,-7.755
norethindrone,-7.09
norgestrel,-6.725
peficitinib,-7.303
raclopride,-5.523
riboflavin,-5.875
scopolamine_hydrobromide,-6.144
solifenacin_succinate,-6.994
stanozolol,-7.638
terpinen-4-ol,-5.748
tibolone,-7.054
timolol_maleate,-5.139
tiotropium,-6.354
topiramate,-6.465
triamcinolone_acetonide,-6.862
trospium,-7.039
vimseltinib,-7.882
